NU_ANO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_ESCOLA,NU_NOTA_REDACAO,TP_ST_CONCLUSAO
2019,389.5,572.3,555.4,493.6,2,500,2
2019,399.4,484.0,490.7,435.2,2,540,2
2019,406.9,448.4,492.3,426.2,1,560,1
2019,392.3,480.6,463.8,484.5,1,560,1
2019,491.6,600.9,608.1,549.0,1,560,1
2019,344.9,424.5,388.4,386.7,1,540,1
2019,545.7,600.6,569.0,550.6,1,760,1
2019,428.3,506.0,491.4,412.1,2,320,2
2019,510.4,365.9,553.8,414.8,1,520,1
2019,609.5,571.7,592.2,655.0,1,780,1
2019,430.8,450.4,438.0,379.9,1,0,1
2019,456.9,516.7,479.9,546.1,2,660,2
2019,472.6,521.3,518.9,395.1,2,520,2
2019,455.2,470.9,511.4,476.3,1,580,1
2019,532.9,614.5,562.2,661.0,2,920,2
2019,538.0,600.7,587.8,535.6,1,800,1
2019,613.1,605.3,586.4,691.3,1,720,1
2019,438.1,550.7,549.6,393.4,1,720,1
2019,474.4,579.4,575.4,478.4,1,760,1
2019,450.0,553.9,552.2,407.2,2,580,2
2019,549.7,588.9,500.4,562.0,1,580,1
2019,463.2,531.8,514.9,450.7,2,600,2
2019,500.1,500.2,545.5,544.0,1,580,1
2019,463.2,658.7,583.8,364.2,1,600,1
2019,381.2,498.6,501.8,450.6,2,320,2
2019,502.5,485.6,512.2,531.0,1,560,1
2019,598.7,627.1,633.2,620.7,3,620,2
2019,480.1,541.7,554.5,691.6,1,620,1
2019,397.3,497.8,492.0,385.9,2,480,2
2019,527.1,567.4,590.0,534.2,1,640,1
2019,416.9,479.4,532.8,391.0,2,680,2
2019,568.3,553.7,531.1,771.8,1,560,3
2019,573.5,616.7,608.1,683.0,1,920,1
2019,537.1,569.9,552.3,443.2,1,620,1
2019,526.2,504.7,531.0,450.7,1,480,1
2019,597.1,607.0,524.6,577.9,3,620,2
2019,384.9,489.4,471.2,410.7,1,500,1
2019,402.9,414.5,429.3,450.7,1,440,1
2019,489.1,480.4,475.4,522.6,2,520,2
2019,443.6,570.3,577.2,629.9,1,440,1
2019,468.8,559.4,511.4,545.1,1,580,3
2019,537.6,454.0,525.9,548.8,1,460,1
2019,550.7,585.6,613.1,601.9,3,880,2
2019,514.0,560.3,544.5,404.6,1,700,1
2019,593.7,595.6,600.6,627.0,2,780,2
2019,460.6,437.7,431.7,437.5,2,320,2
2019,396.9,457.7,512.8,374.8,1,760,1
2019,392.3,354.5,517.9,454.0,2,360,2
2019,576.6,596.1,596.9,654.7,2,880,2
2019,621.4,576.3,565.5,663.6,1,960,1
2019,586.0,620.9,570.3,624.5,2,500,2
2019,405.8,339.6,410.5,447.4,2,480,2
2019,529.4,480.6,515.9,529.9,2,540,2
2019,505.3,573.0,565.3,659.7,2,820,2
2019,457.5,415.3,506.5,461.4,2,580,2
2019,538.0,609.2,552.1,422.3,3,560,2
2019,452.6,459.7,514.3,448.6,1,680,3
2019,417.1,483.3,477.5,492.5,1,700,1
2019,596.6,525.7,580.6,675.0,2,580,2
2019,597.9,612.3,615.9,712.6,3,840,2
2019,381.7,338.6,413.6,443.0,1,260,1
2019,443.3,480.9,494.3,381.2,1,400,1
2019,587.7,597.0,592.4,652.9,2,780,2
2019,414.3,413.8,551.8,472.6,1,660,1
2019,402.6,396.0,438.3,472.6,1,540,3
2019,382.1,521.9,505.8,437.5,1,500,1
2019,505.7,541.4,557.9,550.5,1,720,1
